Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2013-08-28,1.79888,1.79888,1.7015,1.7015,347.59030931989
2013-08-29,1.68643,1.73141,1.68643,1.73141,145.68966760272
2013-08-30,1.74648,1.74648,1.74648,1.74648,32.120556636821
2013-09-02,1.74648,1.74648,1.74648,1.74648,12.618790107323
2013-09-03,1.74648,1.74648,1.74648,1.74648,12.618790107323
2013-09-04,1.74648,1.74648,1.74648,1.74648,32.120556636821
2013-09-05,1.74648,1.74648,1.69401,1.74648,2321.8573797474
2013-09-06,1.74648,1.74648,1.64894,1.74648,1620.9409474224
2013-09-09,1.74648,1.74648,1.64894,1.64894,934.9376306789
2013-09-10,1.75398,1.75398,1.75398,1.75398,379.71086595671
2013-09-11,1.61904,1.75398,1.61904,1.7015,598.81894872931
2013-09-12,1.75398,1.7688,1.75398,1.75398,139.95385391758
2013-09-13,1.76139,1.76139,1.76139,1.76139,47.033672218202
2013-09-16,1.76139,1.76139,1.57406,1.67152,2594.8821111603
2013-09-17,1.67893,1.68643,1.67893,1.68643,1334.1502631651
2013-09-18,1.68643,1.68643,1.68643,1.68643,32.120556636821
2013-09-19,1.68643,1.68643,1.49909,1.56648,2347.094959962
2013-09-20,1.57406,1.68643,1.57406,1.67893,6449.3489075789
2013-09-23,1.67893,1.67893,1.67893,1.67893,32.120556636821
2013-09-24,1.67893,1.67893,1.67893,1.67893,26.384742951674
2013-09-25,1.67893,1.67893,1.67893,1.67893,26.384742951674
2013-09-26,1.67893,1.67893,1.67893,1.67893,12.618790107323
2013-09-27,1.67893,1.67893,1.67893,1.67893,26.384742951674
2013-09-30,1.67893,1.67893,1.67893,1.67893,12.618790107323
2013-10-01,1.67893,1.72391,1.51408,1.72391,2319.5630542733
2013-10-02,1.72391,1.72391,1.64894,1.64894,306.29245078683
2013-10-03,1.68643,1.72391,1.68643,1.72391,415.27291080462
2013-10-04,1.72391,1.72391,1.72391,1.72391,41.297858533056
2013-10-07,1.72391,1.72391,1.61154,1.64894,1081.7744610187
2013-10-08,1.66402,1.66402,1.66402,1.66402,12.618790107323
2013-10-09,1.66402,1.67893,1.66402,1.67893,292.52649794248
2013-10-11,1.67893,1.68643,1.67893,1.68643,156.01413223599
2013-10-14,1.72391,1.72391,1.61154,1.65652,131.92371475837
2013-10-15,1.64894,1.64894,1.64894,1.64894,267.28891772783
2013-10-16,1.66402,1.71641,1.66402,1.71641,534.57783545567
2013-10-17,1.72391,1.72391,1.62654,1.64894,567.84555482952
2013-10-18,1.64894,1.67152,1.64894,1.67152,143.39534212867
2013-10-23,1.67152,1.67152,1.67152,1.67152,12.618790107323
2013-10-24,1.67893,1.67893,1.67893,1.67893,47.033672218202
2013-10-25,1.67893,1.67893,1.67893,1.67893,12.618790107323
2013-10-28,1.67893,1.67893,1.67893,1.67893,32.120556636821
2013-10-29,1.67893,1.67893,1.67893,1.67893,32.120556636821
2013-10-30,1.67893,1.67893,1.67893,1.67893,32.120556636821
2013-10-31,1.67893,1.73899,1.61904,1.73899,1144.8684115553
2013-11-04,1.73141,1.73141,1.73141,1.73141,79.154228855023
2013-11-05,1.73141,1.73141,1.73141,1.73141,53.916648640378
2013-11-06,1.73141,1.73141,1.73141,1.73141,53.916648640378
2013-11-07,1.73141,1.73141,1.73141,1.73141,41.297858533056
2013-11-08,1.73141,1.76139,1.73141,1.76139,1447.719374131
2013-11-12,1.79888,1.79888,1.79888,1.79888,269.58324320189
2013-11-13,1.79888,1.79888,1.79888,1.79888,12.618790107323
2013-11-14,1.79888,1.79888,1.79888,1.79888,41.297858533056
2013-11-15,1.79888,1.84386,1.79888,1.84386,348.73747205691
2013-11-18,1.84386,1.88134,1.72391,1.88134,1647.3256903741
2013-11-19,1.88134,1.88134,1.72391,1.80637,1320.3843103208
2013-11-20,1.81387,1.82145,1.81387,1.82145,68.829764221759
2013-11-21,1.82145,1.83636,1.82145,1.83636,333.82435647553
